Маркетплейс;Дата;Артикул;Товар;Категория;Бренд;Продано, шт;Реализация, ₽;Возвраты, ₽;Комиссия МП, ₽;Логистика, ₽;Хранение, ₽;Продвижение, ₽;Штрафы, ₽;Прочие удержания, ₽;К выплате, ₽
Wildberries;2026-07-06;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;39;162912;0;24436;18078;351;6516;0;0;113531
Wildberries;2026-07-06;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;23;77351;8484;11602;9155;237;0;0;0;47873
Wildberries;2026-07-06;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;3991;1701;598;368;298;0;0;0;1026
Wildberries;2026-07-06;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;42;135858;94441;20379;8226;13;0;0;0;12799
Wildberries;2026-07-06;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;19;62838;0;9426;6725;242;2513;0;0;43932
Wildberries;2026-07-13;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;52;88387;0;13258;9729;376;3535;0;0;61489
Wildberries;2026-07-13;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;721;292;108;55;331;0;0;0;-65
Wildberries;2026-07-13;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;15;36606;0;5490;3829;81;1463;0;0;25743
Ozon;2026-07-13;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;19;23426;1234;3513;1566;201;0;0;0;16912
Ozon;2026-07-13;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;41;67668;8843;10150;6286;157;0;0;0;42232
Ozon;2026-07-13;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;38;51948;0;7791;5265;358;0;0;0;38534
Wildberries;2026-07-13;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;58;59307;6442;8896;5824;187;0;0;0;37958
Ozon;2026-07-13;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;16;52711;0;7906;5020;72;2108;0;0;37605
Wildberries;2026-07-13;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;28;60084;0;9012;5855;470;0;0;0;44747
Wildberries;2026-07-13;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;53;98294;0;16710;7113;325;3931;0;0;70215
Ozon;2026-07-13;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;45;120942;13307;18141;7887;83;0;0;0;81524
Ozon;2026-07-13;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;56;169732;0;25459;26854;81;6789;0;0;110549
Ozon;2026-07-13;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;53;41196;0;6179;4295;375;5767;0;0;24580
Ozon;2026-07-13;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;29;62766;8185;9414;6017;329;0;0;0;38821
Wildberries;2026-07-13;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;60;194664;10650;29199;15902;194;0;0;0;138719
Ozon;2026-07-13;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;36;36931;1665;5540;4165;212;5169;0;0;20180
Wildberries;2026-07-13;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;28;102456;0;15368;10046;255;0;0;0;76787
Wildberries;2026-07-13;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;70;280871;0;42130;17004;273;0;0;0;221464
Wildberries;2026-07-13;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;57;50259;0;7538;3242;232;8041;0;0;31206
Wildberries;2026-07-13;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;31;130268;0;19540;14577;395;5210;0;0;90546
Wildberries;2026-07-13;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;27;89887;10310;13483;10463;200;0;0;0;55431
Wildberries;2026-07-13;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;3943;1738;591;356;354;0;0;0;904
Wildberries;2026-07-13;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;54;173855;138808;26078;10983;17;0;0;0;-2031
Wildberries;2026-07-13;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;19;63009;0;9451;6309;234;2520;0;0;44495
Wildberries;2026-07-20;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;49;86150;0;12922;8739;355;3445;0;0;60689
Wildberries;2026-07-20;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;718;316;107;53;327;0;0;0;-85
Wildberries;2026-07-20;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;14;33978;0;5096;3532;87;1358;0;0;23905
Ozon;2026-07-20;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;19;23546;1131;3531;1557;231;0;0;0;17096
Ozon;2026-07-20;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;39;66257;8291;9938;6103;173;0;0;0;41752
Ozon;2026-07-20;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;39;55049;0;8256;5393;421;0;0;0;40979
Wildberries;2026-07-20;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;53;52888;6489;7933;5169;179;0;0;0;33118
Ozon;2026-07-20;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;13;43388;0;6507;4051;92;1735;0;0;31003
Wildberries;2026-07-20;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;27;58361;0;8753;6073;384;0;0;0;43151
Wildberries;2026-07-20;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;48;90399;0;13559;6776;316;3615;0;0;66133
Ozon;2026-07-20;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;49;128265;16129;19239;8804;65;0;0;0;84028
Ozon;2026-07-20;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;58;171118;0;25667;26343;62;6845;0;0;112201
Ozon;2026-07-20;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;55;43930;0;6589;4212;399;6150;0;0;26580
Ozon;2026-07-20;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;27;57620;6363;8642;5296;294;0;0;0;37025
Wildberries;2026-07-20;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;55;176627;9037;26493;14968;236;0;0;0;125893
Ozon;2026-07-20;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;39;40678;1972;6102;4648;232;5694;0;0;22030
Wildberries;2026-07-20;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;25;91353;0;13703;8656;217;0;0;0;68777
Wildberries;2026-07-20;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;68;273285;0;40992;17074;290;0;0;0;214929
Wildberries;2026-07-20;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;49;42933;0;6440;2957;227;6869;0;0;26440
Wildberries;2026-07-20;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;33;137235;0;20585;16143;391;5489;0;0;94627
Wildberries;2026-07-20;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;30;102325;11752;15348;11646;273;0;0;0;63306
Wildberries;2026-07-20;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;2;4021;1638;603;365;267;0;0;0;1148
Wildberries;2026-07-20;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;47;149225;114668;22384;9976;18;0;0;0;2179
Wildberries;2026-07-20;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;20;66958;0;10044;7158;335;2678;0;0;46743
Wildberries;2026-07-13;WB-050;Штраф — маркировка;Прочее/Корректировки;—;0;0;0;0;0;0;0;620;0;-620
Ozon;2026-06-29;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-07-06;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-07-13;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-07-20;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
