Маркетплейс;Дата;Артикул;Товар;Категория;Бренд;Продано, шт;Реализация, ₽;Возвраты, ₽;Комиссия МП, ₽;Логистика, ₽;Хранение, ₽;Продвижение, ₽;Штрафы, ₽;Прочие удержания, ₽;К выплате, ₽
Wildberries;2026-06-15;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;29;98932;11237;14840;11440;217;0;0;0;61198
Wildberries;2026-06-15;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;4;7891;3405;1183;743;298;0;0;0;2262
Wildberries;2026-06-15;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;49;156519;66037;23478;10120;14;0;0;0;56870
Wildberries;2026-06-15;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;19;64603;0;9690;6782;316;2584;0;0;45231
Wildberries;2026-06-22;WB-001;Худи Northmoor 01;Одежда/Худи;Northmoor;51;88516;0;13277;9054;378;3540;0;0;62267
Wildberries;2026-06-22;WB-002;Худи Aurelka 02;Одежда/Худи;Aurelka;1;729;336;109;50;273;0;0;0;-39
Wildberries;2026-06-22;WB-003;Худи Aurelka 03;Одежда/Худи;Aurelka;15;36706;0;5505;4036;77;1467;0;0;25621
Ozon;2026-06-22;OZ-004;Худи Aurelka 04;Одежда/Худи;Aurelka;19;23500;1208;3524;1499;195;0;0;0;17074
Ozon;2026-06-22;OZ-005;Футболки Basico 05;Одежда/Футболки;Basico;33;56056;6502;8408;4996;158;0;0;0;35992
Ozon;2026-06-22;OZ-006;Футболки Basico 06;Одежда/Футболки;Basico;37;51909;0;7786;5009;402;0;0;0;38712
Wildberries;2026-06-22;WB-007;Футболки Northmoor 07;Одежда/Футболки;Northmoor;53;54704;6155;8205;5398;150;0;0;0;34796
Ozon;2026-06-22;OZ-008;Футболки Basico 08;Одежда/Футболки;Basico;13;43450;0;6517;4329;101;1738;0;0;30765
Wildberries;2026-06-22;WB-009;Кружки Keramo 09;Посуда/Кружки;Keramo;33;72495;0;10873;7195;343;0;0;0;54084
Wildberries;2026-06-22;WB-010;Кружки Keramo 10;Посуда/Кружки;Keramo;52;97061;0;14558;7159;334;3882;0;0;71128
Ozon;2026-06-22;OZ-011;Кружки Keramo 11;Посуда/Кружки;Keramo;43;111427;13035;16713;7693;63;0;0;0;73923
Ozon;2026-06-22;OZ-012;Кружки LuceCasa 12;Посуда/Кружки;LuceCasa;51;153161;0;22974;19160;70;6126;0;0;104831
Ozon;2026-06-22;OZ-013;Тарелки Keramo 13;Посуда/Тарелки;Keramo;53;42357;0;6353;4147;369;5930;0;0;25558
Ozon;2026-06-22;OZ-014;Тарелки Keramo 14;Посуда/Тарелки;Keramo;23;50564;5607;7584;4572;320;0;0;0;32481
Wildberries;2026-06-22;WB-015;Тарелки LuceCasa 15;Посуда/Тарелки;LuceCasa;52;167404;8513;25110;13833;258;0;0;0;119690
Ozon;2026-06-22;OZ-016;Тарелки Keramo 16;Посуда/Тарелки;Keramo;28;28974;1394;4346;3283;231;4056;0;0;15664
Wildberries;2026-06-22;WB-017;Наушники Voltra 17;Электроника/Наушники;Voltra;22;81927;0;12289;8177;272;0;0;0;61189
Wildberries;2026-06-22;WB-018;Наушники SonaX 18;Электроника/Наушники;SonaX;62;247409;0;37111;16248;258;0;0;0;193792
Wildberries;2026-06-22;WB-019;Наушники SonaX 19;Электроника/Наушники;SonaX;55;48271;0;7240;3258;272;6758;0;0;30743
Wildberries;2026-06-22;WB-020;Наушники SonaX 20;Электроника/Наушники;SonaX;32;131690;0;19753;15696;328;5267;0;0;90646
Wildberries;2026-06-22;WB-021;Пледы Aurelka 21;Дом/Пледы;Aurelka;23;78108;9036;11716;9084;226;0;0;0;48046
Wildberries;2026-06-22;WB-022;Пледы CozyNest 22;Дом/Пледы;CozyNest;4;7976;3172;1196;774;308;0;0;0;2526
Wildberries;2026-06-22;WB-023;Пледы CozyNest 23;Дом/Пледы;CozyNest;40;126308;56362;18946;8076;13;0;0;0;42911
Wildberries;2026-06-22;WB-024;Пледы CozyNest 24;Дом/Пледы;CozyNest;18;60539;0;9081;6328;341;2421;0;0;42368
Wildberries;2026-06-15;WB-050;Штраф — маркировка;Прочее/Корректировки;—;0;0;0;0;0;0;0;620;0;-620
Ozon;2026-06-01;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-06-08;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-06-15;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
Ozon;2026-06-22;OZ-060;Удержание — эквайринг;Прочее/Корректировки;—;0;0;0;0;0;0;0;0;450;-450
